Departamento;Municipio;Solicitante;Solicitud;Estado Solicitud;Fecha Radicado;Latitud;Longitud;Direccion;Tipo Equipo;Estado Ubicacion
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.767;-756.061;Km 4 +100 Vía Tunel de Occidente O-E;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.249.763;-7.558.005;Autopista Sur por Calle 44A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000481;Aprobada;8/03/2018 0:00;6.292.095;-75.568.481;Carrera 64C por Calle 97A;Laser (Lidar) / Infrarrojo;Aprobada
ANTIOQUIA;MEDELLIN;SECRETARIA DE MOVILIDAD DE MEDELLIN;SOL0000000381;Aprobada;07/26/2018 12:00:00 AM;62.074;-755.892;Avenida 80 por Carrera 65;Lazo Inductivo de piso (espiras);Aprobada
ANTIOQUIA;SABANETA;SECRETARIA DE TRANSITO Y TRANSPORTE MUNICIPAL DE SABANETA;SOL0000000621;Aprobada;08/28/2018 12:00:00 AM;6.158.101;-75.609.045;AVENIDA LAS VEGAS CARRERA 48 CON CALLE 60 SUR (INTERSECCIóN SENTIDO NORTE - SUR).;Lazo Inductivo de piso (espiras);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;47.298;-7.406.864;AV BOYACA X AC 138;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.640.483;-74.066.464;AV CARACAS X CL 53;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.604.657;-74.095.158;KR 27 X AC 6;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;4.599.114;-74.078.412;KR 10 X CL 10;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;45.984.922;-741.069.537;AV QUITO X CL 8 SUR;Semi-automática (Acción remota);Aprobada
Bogota D.C;Bogota D.C;SECRETARIA DISTRITAL DE MOVILIDAD;SOL0000000541;Aprobada;9/07/2018 0:00;45.971.725;-741.775.094;AUTOPISTA SUR X CL 59 SUR;Semi-automática (Acción remota);Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000354;Aprobada;07/17/2018 12:00:00 AM;41.292.306;-736.383.528;AVENIDA 40 CALLE 10C;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;3.407.457;-765.424.192;CARRERA 56 CON CALLE 9;Lazo Inductivo de piso (espiras);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000250;Aprobada;06/29/2018 12:00:00 AM;1.097.935;-7.482.306;Calle 82B # 26C1 - 60 (casa esquina);Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000225;Aprobada;06/29/2018 12:00:00 AM;110.131;-7.483.406;Carrera 51B - Calle 102;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000228;Aprobada;06/29/2018 12:00:00 AM;109.402.005;-7.477.858;Calle 19 entre carreras 3D(Boulevard);Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000239;Aprobada;07/26/2018 12:00:00 AM;1.096.272;-7.483.793;Calle 110# 10 - 427;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000421;Aprobada;8/02/2018 0:00;4.147.472;-73.618.595;CALLE 35 CARRERA 18;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000204;Aprobada;06/29/2018 12:00:00 AM;1.098.943;-7.481.432;Calle 76 # 38C - 110;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000223;Aprobada;06/29/2018 12:00:00 AM;1.095.849;-7.480.349;Calle 56 # 14 - 24;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000224;Aprobada;06/29/2018 12:00:00 AM;1.092.959;-7.479.918;Calle 45 # 1Sur - 39;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000240;Aprobada;06/29/2018 12:00:00 AM;109.475;-7.481.622;Carrera 6 - Calle 72 / carrera 56 # 65-44;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000245;Aprobada;06/29/2018 12:00:00 AM;1.097.109;-74.823;Carrera 21 # 78-44;Radar doppler;Aprobada
ATLANTICO;JUAN DE ACOSTA;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000000442;Aprobada;8/02/2018 0:00;10.834.457;-75.142.016;SIN DIRECCION;Radar doppler;Aprobada
ATLANTICO;JUAN DE ACOSTA;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000000443;Aprobada;8/02/2018 0:00;10.864.337;-75.099.612;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;CARTAGO;DISTRITO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CARTAGO;SOL0000001202;Aprobada;12/09/2018 0:00;47.068.812;-759.224.315;SIN DIRECCION;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CARTAGO;DISTRITO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CARTAGO;SOL0000001221;Aprobada;12/09/2018 0:00;47.269.902;-759.143.884;SIN DIRECCION;Laser (Lidar) / Infrarrojo;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000221;Aprobada;06/29/2018 12:00:00 AM;1.094.667;-7.478.458;Calle 30 # 4B-350;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000233;Aprobada;07/26/2018 12:00:00 AM;1.096.212;-7.479.308;Calle 45 # 21-39;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000235;Aprobada;07/26/2018 12:00:00 AM;1.096.134;-7.479.337;Calle 45 # 21 - 18;Radar doppler;Aprobada
SUCRE;COROZAL;INSPECCION DE TRANSITO Y TRANSPORTE DE COROZAL;SOL0000000388;Aprobada;07/26/2018 12:00:00 AM;9.319.929;-75.304.641;VIA TRONCAL DE OCCIDENTE - KM 7+750 SNS;Radar doppler;Aprobada
CUNDINAMARCA;LA MESA;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001384;Aprobada;12/15/2018 12:00:00 AM;4.554.758;-74.532.514;Se Encuentra Ubicado en el Municipio de Anapoima en CRA 5 NO. 9 50;Radar doppler;Aprobada
ATLANTICO;GALAPA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE GALAPA;SOL0000000344;Aprobada;7/11/2018 0:00;10.862.371;-74.896.177;Vía Cordialidad KM 104+900;Radar doppler;Aprobada
ATLANTICO;SOLEDAD;INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE DE SOLEDAD;SOL0000000384;Aprobada;07/26/2018 12:00:00 AM;10.910.575;-74.799.143;SIN DIRECCION;Radar doppler;Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;109.875;-74.198.889;RUTA 4518 KM 97;Radar doppler;Aprobada
SUCRE;COROZAL;INSPECCION DE TRANSITO Y TRANSPORTE DE COROZAL;SOL0000000389;Aprobada;07/26/2018 12:00:00 AM;9.326.066;-75.283.779;VIA TRONCAL DE OCCIDENTE - KM 10+550;Radar doppler;Aprobada
VALLE DEL CAUCA;CARTAGO;DISTRITO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CARTAGO;SOL0000001161;Aprobada;12/09/2018 0:00;47.428.117;-759.031.523;SIN DIRECCION;Laser (Lidar) / Infrarrojo;Aprobada
SUCRE;COROZAL;INSPECCION DE TRANSITO Y TRANSPORTE DE COROZAL;SOL0000000387;Aprobada;07/26/2018 12:00:00 AM;9.319.717;-75.304.748;VIA TRONCAL DE OCCIDENTE - KM 7+750;Radar doppler;Aprobada
ATLANTICO;SOLEDAD;INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE DE SOLEDAD;SOL0000000386;Aprobada;07/26/2018 12:00:00 AM;10.924.191;-74.792.783;SIN DIRECCION;Radar doppler;Aprobada
MAGDALENA;PUEBLOVIEJO;TRANSITO Y TRANSPORTE MAGDALENA;SOL0000000642;Aprobada;08/17/2018 12:00:00 AM;10.981.853;-74.309.397;Troncal Del Caribe - PR 54;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000230;Aprobada;06/29/2018 12:00:00 AM;1.100.788;-7.483.351;Carrera 46 - calle 100 esquina;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000249;Aprobada;06/29/2018 12:00:00 AM;1.094.276;-7.478.356;Calle 30 # 5A-121 (Coltanques);Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001481;Aprobada;12/21/2018 12:00:00 AM;789.991;-7.250.063;SIN DIRECCION;Radar doppler;Aprobada
MAGDALENA;PUEBLOVIEJO;TRANSITO Y TRANSPORTE MAGDALENA;SOL0000000781;Aprobada;10/02/2018 0:00;10.971.872;-74.362.098;Troncal Del Caribe - PR 48;Radar doppler;Aprobada
VALLE DEL CAUCA;YUMBO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YUMBO;SOL0000001362;Aprobada;12/17/2018 12:00:00 AM;3.554.974;-76.501.121;Calle 10 entre Carreras 20 y 21;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000247;Aprobada;06/29/2018 12:00:00 AM;1.095.356;-7.477.608;Carrera 15 # 18 - 102;Radar doppler;Aprobada
ATLANTICO;SUAN;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000001941;Aprobada;4/02/2019 0:00;10.339.479;-74.879.307;Vía Troncal de Occidente Ruta 2516 PR 9+308;Radar doppler;Aprobada
ANTIOQUIA;ITAGUI;SECRETARIA DE TRANSPORTE Y TRANSITO DE ITAGUI;SOL0000000761;Aprobada;09/27/2018 12:00:00 AM;61.921.057;-755.925.978;CALLE 85 CARRERA 52D (SECTOR CHIMENEAS);Lazo Inductivo de piso (espiras);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000252;Aprobada;7/03/2018 0:00;110.074;-7.481.254;Calle 82 con carrera 56;Video Detección (Con analítica de video);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000248;Aprobada;06/29/2018 12:00:00 AM;1.101.561;-7.482.071;Calle 94 # 57-57;Radar doppler;Aprobada
MAGDALENA;PUEBLOVIEJO;TRANSITO Y TRANSPORTE MAGDALENA;SOL0000000782;Aprobada;10/02/2018 0:00;10.972.246;-74.398.495;Troncal Del Caribe - PR 44;Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001561;Aprobada;12/28/2018 12:00:00 AM;788.884;-7.250.218;SIN DIRECCION;Radar doppler;Aprobada
ATLANTICO;MALAMBO;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000001982;Aprobada;04/23/2019 12:00:00 AM;10.870.283;-7.477.136;Calle 10A con Carrera 17 (Malambo);Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000243;Aprobada;7/05/2018 0:00;1.101.742;-7.483.438;Carrera 53 - Calle 106;Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001841;Aprobada;3/05/2019 0:00;789.064;-7.250.562;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;YOTOCO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YOTOCO (VALLE);SOL0000001102;Aprobada;12/17/2018 12:00:00 AM;3.880.631;-76.375.349;SIN DIRECCION;Radar doppler;Aprobada
SANTANDER;BARRANCABERMEJA;INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA;SOL0000001726;Aprobada;02/19/2019 12:00:00 AM;7.062.468;-73.840.031;Calle 39 carrera 36d. aceso occidental.   Orientación: Occidente Oriente (solo se va a supervisar e infraccionar en un solo sentido);Video Detección (Con analítica de video);Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001041;Aprobada;11/23/2018 12:00:00 AM;7.908.724;-72.517.832;AVENIDA 0 CON CALLE 1 (Atalaya);Radar doppler;Aprobada
N. DE SANTANDER;VILLA DEL ROSARIO;DEPARTAMENTO ADMINISTRATIVO DE TRANSPORTES Y TRANSITO DE VILLA DEL ROSARIO;SOL0000000364;Aprobada;07/27/2018 12:00:00 AM;7.838.556;-72.464.714;SIN DIRECCION;Radar doppler;Aprobada
N. DE SANTANDER;VILLA DEL ROSARIO;DEPARTAMENTO ADMINISTRATIVO DE TRANSPORTES Y TRANSITO DE VILLA DEL ROSARIO;SOL0000000365;Aprobada;07/27/2018 12:00:00 AM;7.860.509;-72.479.449;SIN DIRECCION;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000241;Aprobada;7/09/2018 0:00;1.095.749;-7.489.345;Via 11 # 8 - 21;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000256;Aprobada;7/09/2018 0:00;1.096.959;-7.478.989;Calle 45 con carrera 27;Video Detección (Con analítica de video);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000251;Aprobada;7/09/2018 0:00;1.095.467;-7.479.734;Calle 45B con carrera 14;Video Detección (Con analítica de video);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000257;Aprobada;7/09/2018 0:00;1.099.261;-7.480.666;Calle 72 con carrera 44;Video Detección (Con analítica de video);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000253;Aprobada;7/09/2018 0:00;1.098.771;-7.478.975;Calle 53 con carrera 45;Video Detección (Con analítica de video);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000227;Aprobada;06/29/2018 12:00:00 AM;1.100.938;-7.481.841;Carrera 53 entre calles 86 y 87;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000229;Aprobada;06/29/2018 12:00:00 AM;1.094.252;-747.777;Calle 19 entre carreras 4C y 5A (Cancha);Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000237;Aprobada;07/26/2018 12:00:00 AM;1.097.871;-7.483.624;Calle 110#29-120 (centro industrial);Radar doppler;Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;110.221.411;-742.089.761;RUTA 9007 KM 66 + 977;Radar doppler;Aprobada
MAGDALENA;CIENAGA;INSTITUTO DE TRANSITO Y TRANSPORTE MUNICIPAL DE CIENAGA;SOL0000001121;Aprobada;12/06/2018 0:00;110.002.073;-74.213.672;RUTA 45MGB2 KM 1 + 350;Radar doppler;Aprobada
VALLE DEL CAUCA;YUMBO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YUMBO;SOL0000001365;Aprobada;12/17/2018 12:00:00 AM;3.553.317;-76.490.183;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;YUMBO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YUMBO;SOL0000001342;Aprobada;12/17/2018 12:00:00 AM;352.675;-76.514.983;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;YUMBO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YUMBO;SOL0000001343;Aprobada;12/17/2018 12:00:00 AM;3.528.183;-76.514.517;Calle 10 frente al Colegio Liceo Francés Paul Valery Sentido Norte -Sur.;Radar doppler;Aprobada
CUNDINAMARCA;COTA;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001452;Aprobada;12/17/2018 12:00:00 AM;479.277;-74.115.819;Via Mosquera Cota km 16 sentido siberia cota;Radar doppler;Aprobada
VALLE DEL CAUCA;YOTOCO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YOTOCO (VALLE);SOL0000001101;Aprobada;12/17/2018 12:00:00 AM;3.813.821;-76.391.971;SIN DIRECCION;Radar doppler;Aprobada
ANTIOQUIA;ITAGUI;SECRETARIA DE TRANSPORTE Y TRANSITO DE ITAGUI;SOL0000002061;Aprobada;5/08/2019 0:00;6.191.318;-75.592.445;Carrera 52 Calle 85;Lazo Inductivo de piso (espiras);Aprobada
ATLANTICO;SOLEDAD;INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE DE SOLEDAD;SOL0000002081;Aprobada;05/21/2019 12:00:00 AM;10.917.662;-74.774.931;Av. Calle 30 con Carrera 19 (Soledad);Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000238;Aprobada;07/26/2018 12:00:00 AM;1.096.257;-7.483.808;Calle 110# 10 - 427 (Norte-Sur);Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001641;Aprobada;01/18/2019 12:00:00 AM;793.286;-7.249.854;SIN DIRECCION;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000258;Aprobada;7/09/2018 0:00;1.100.457;-7.481.435;Calle 82 con carrera 51B;Video Detección (Con analítica de video);Aprobada
ANTIOQUIA;BELLO;SECRETARIA DE TRANSPORTES Y TRANSITO DE BELLO;SOL0000000382;Aprobada;08/29/2018 12:00:00 AM;6.327.839;-75.558.023;Carrera 50 Calle 40;Lazo Inductivo de piso (espiras);Aprobada
VALLE DEL CAUCA;YUMBO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YUMBO;SOL0000001364;Aprobada;12/17/2018 12:00:00 AM;3.529.883;-764.959;SIN DIRECCION;Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001043;Aprobada;11/23/2018 12:00:00 AM;790.499;-7.251.833;AVENIDA 17 CON CALLE 4;Radar doppler;Aprobada
VALLE DEL CAUCA;CARTAGO;DISTRITO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CARTAGO;SOL0000001201;Aprobada;12/09/2018 0:00;47.328.607;-759.119.295;SIN DIRECCION;Laser (Lidar) / Infrarrojo;Aprobada
N. DE SANTANDER;LOS PATIOS;NORTE DE SANTANDER-LOS PATIOS;SOL0000000941;Aprobada;11/13/2018 12:00:00 AM;7.823.875;-725.133.388;AV 10 CALLE 12 SENTIDO CUCUTA - PAMPLONA;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;YOTOCO;SECRETARIA DE TRANSITO Y TRANSPORTE DE YOTOCO (VALLE);SOL0000001081;Aprobada;12/17/2018 12:00:00 AM;3.786.458;-76.400.148;SIN DIRECCION;Radar doppler;Aprobada
ANTIOQUIA;SABANETA;SECRETARIA DE TRANSITO Y TRANSPORTE MUNICIPAL DE SABANETA;SOL0000000621;Aprobada;08/28/2018 12:00:00 AM;6.156.162;-7.561.912;AVENIDA REGIONAL CON CALLE 67 SUR (TRAMO DE VÍA SENTIDO SUR - NORTE).;Lazo Inductivo de piso (espiras);Aprobada
ATLANTICO;SABANAGRANDE;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000001984;Aprobada;04/23/2019 12:00:00 AM;10.777.101;-74.756.537;Vía Oriental KM 62;Radar doppler;Aprobada
CUNDINAMARCA;SIBATE;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001402;Aprobada;12/15/2018 12:00:00 AM;4.528.889;-74.321.824;Vía Bogota Girardot  Km 100 +500 sector el Soche;Radar doppler;Aprobada
ATLANTICO;GALAPA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE GALAPA;SOL0000001921;Aprobada;03/21/2019 12:00:00 AM;10.927.372;-74.866.142;VÍA CORDIALIDAD - RUTA 9006 PR 113+150;Radar doppler;Aprobada
ATLANTICO;MALAMBO;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000001983;Aprobada;04/23/2019 12:00:00 AM;10.864.616;-74.772.149;Vía Oriental con Carrera 19 (Malambo);Radar doppler;Aprobada
ATLANTICO;PUERTO COLOMBIA;SECRETARIA MUNICIPAL DE TRANSITO Y TRANSPORTE DE PUERTO COLOMBIA;SOL0000000347;Aprobada;7/11/2018 0:00;11.016.498;-74.845.503;Carrera 51B - Km 2;Radar doppler;Aprobada
ANTIOQUIA;ITAGUI;SECRETARIA DE TRANSPORTE Y TRANSITO DE ITAGUI;SOL0000002101;Aprobada;05/20/2019 12:00:00 AM;617.242;-7.562.977;CALLE 36 CARRERA 65;Lazo Inductivo de piso (espiras);Aprobada
CUNDINAMARCA;CAJICA;SECRETARIA DE TRANSPORTE Y MOVILIDAD DE CUNDINAMARCA;SOL0000001381;Aprobada;12/15/2018 12:00:00 AM;4.917.675;-74.016.017;El equipo se ubica en la Carrera 8 N° 4D – 05 en el Municipio de CAJICA;Radar doppler;Aprobada
N. DE SANTANDER;CUCUTA;NORTE DE SANTANDER-CUCUTA;SOL0000001581;Aprobada;1/09/2019 0:00;789.008;-7.250.387;AVENIDA 4 CALLE 7;Radar doppler;Aprobada
