Departamento;Municipio;Latitud;Longitud;Direccion
SANTANDER;BARRANCABERMEJA;7.063.147;-73.839.292;Carrera 36e Calle 54 (cl 39). Acceso norte (intersecci¢n).   Orientaci¢n: norte-sur (solo se va a supervisar e infraccionar en un solo sentido)
SANTANDER;BARRANCABERMEJA;70.561;-73.850.167;Carrera 28 calle 45 acceso sur.  Orientaci¢n: sur- norte. (olo se va a supervisar e infraccionar en un solo sentido)
SANTANDER;BARRANCABERMEJA;7.061.962;-73.850.114;Calle 52 Carrera 30 accesos oriente.   Orientaci¢n: Oriente-Occidente
ATLANTICO;CAMPO DE LA CRUZ;10.377.133;-7.486.939;V¡a Troncal del Occidente Ruta 2516 PR 14+000
CUNDINAMARCA;SIBATE;4.524.055;-74.242.203;VIA SOACHA SIBATE KM7
ATLANTICO;PALMAR DE VARELA;10.705.271;-74.750.647;V¡a Troncal de Occidente Ruta 2516 PR 54+000
SANTANDER;BARRANCABERMEJA;7.071.286;-73.844.066;diagonal 60 calle 63  acceso sur.     Orientaci¢n: sur-norte
SANTANDER;BARRANCABERMEJA;7.072.276;-73.843.598;Diagonal 60 Calle 63 Acceso norte.    Orientaci¢n norte-sur
SANTANDER;BARRANCABERMEJA;7.061.631;-73.854.111;Call 52 carrera 30 Acceso oriente.       Orientaci¢n: oriente occidente
ANTIOQUIA;BELLO;6.314.005;-75.562.133;Calle 24A Carrera 57A
SANTANDER;BARRANCABERMEJA;7.062.964;-73.838.958;Calle 54 (calle39) x Carrera 36e. acceso Oriente    Orientaci¢n: Oriente-Occidente (solo se va a supervisar e infraccionar en un solo sentido)
SANTANDER;BARRANCABERMEJA;7.062.217;-73.839.577;Carrera 36d Calle 39 acceso sur.     Orientaci¢n: Sur-norte (olo se va a supervisar e infraccionar en un solo sentido)
SANTANDER;BARRANCABERMEJA;7.056.758;-73.850.483;Carrera 28 Calle 45 acceso norte.   Orientaci¢n: norte-sur  (Solo se va a supervisar e infraccionar en un solo sentido)
ANTIOQUIA;BELLO;6.329.922;-75.550.549;Avenida 38 Pedro Nel Gomez Km2 +280 Sentido S-N
SANTANDER;BARRANCABERMEJA;7.062.703;-73.839.019;Calle 52A x calle 39 (calle 54). acceso oriental-sur.     Orientaci¢n oriente-occidente (Solo se va a supervisar e infraccionar en un solo sentido)
N. DE SANTANDER;CUCUTA;789.416;-7.249.027;Parque Sim¢n Bol¡var intersecci¢n Av. La Gran Colombia con Av. Guaimaral
CUNDINAMARCA;RICAURTE;4.239.328;-74.720.923;Via Bogota Girardot Km 14+600 Nilo
N. DE SANTANDER;LOS PATIOS;7.858.613;-725.008.388;AV 10 CALLE 51 COMFANORTE SENTIDO PAMPLONA - CUCUTA
SANTANDER;BARRANCABERMEJA;7.041.061;-7.383.988;Calle 33 carrera 52 acceso occidente.   Orientaci¢n: occidente-oriente
SANTANDER;BARRANCABERMEJA;7.059.478;-73.851.301;Calle 48 Carrera 28 acceso norte.    Orientaci¢n: norte- sur.
SANTANDER;BARRANCABERMEJA;7.069.186;-73.846.233;Diagonal 60 calle 61 acceso oriental.   Orientaci¢n: oriente-occidente
SANTANDER;BARRANCABERMEJA;7.061.369;-73.851.025;Diagonal 49 Carrera 30 Calle 52 acceso sur-occidental.   Orientaci¢n: sur norte
SANTANDER;BARRANCABERMEJA;7.061.647;-73.851.267;Calle 52 carrera 30 acceso occidente.     Orientaci¢n: Occidente Oriente
ATLANTICO;CAMPO DE LA CRUZ;10.407.569;-74.850.196;V¡a Troncal de Occidente Ruta 2516 PR 17+972
SANTANDER;BARRANCABERMEJA;7.060.883;-73.854.454;Calle 52 Carrera 24 acceso sur.     Orientaci¢n: sur - norte (Solo se va a supervisar e infraccionar en un solo sentido)
SANTANDER;BARRANCABERMEJA;7.068.936;-73.846.969;Calle 61 diagonal 60 acceso occidental.    Orientaci¢n: occidente-oriente
MAGDALENA;FUNDACION;104.996.667;-74.161.183;"RUTA 4518 TRONCAL DEL CARIBE ""RUTA DEL SOL 3"" PR-32 +500 (TOMA DE EVIDENCIAS ELECTRONICAS EN AMBOS SENTIDOS DE CIRCULACION)"
N. DE SANTANDER;CUCUTA;7.873.421;-72.500.829;Av. 1 con calle 24
ATLANTICO;PONEDERA;10.635.661;-74.758.829;V¡a Troncal del Occidente Ruta 2516 46+000
SANTANDER;BARRANCABERMEJA;7.040.311;-73.839.683;carrera 52 calle 33
HUILA;PALERMO;2.833.086;-75.329.864;RUTA 43HL02-1 PR 6 + 100
CUNDINAMARCA;RICAURTE;4.284.418;-74.772.343;CALLE 10 NO. 12 301 en el Municipio Ricaurte
SANTANDER;BARRANCABERMEJA;7.060.592;-73.862.372;Carrera 15 calle 50 acceso norte.   Orientaci¢n: norte-sur
N. DE SANTANDER;LOS PATIOS;78.034.528;-725.202.225;AV 10 URBANIZACION MONTEBELLO 2
SANTANDER;BARRANCABERMEJA;7.068.624;-73.855.471;Calle 60 carrera 21 acceso oriental.   Orientaci¢n: oriente-occidente
SANTANDER;BARRANCABERMEJA;7.059.378;-73.850.778;Calle 48 Carrera 28 acceso oriente.    Orientaci¢n: oriente-occidente
SANTANDER;BARRANCABERMEJA;7.063.811;-7.384.454;Calle 39 Carrera 34c acceso Occidental.    Orientaci¢n: Occidente-Oriente
SANTANDER;BARRANCABERMEJA;7.058.806;-73.850.961;Carrera 28 Calle 48 Acceso sur.   Orientaci¢n: sur-norte
ANTIOQUIA;MEDELLIN;6.289.662;-75.570.158;Carrera 65 por Calle 95
ANTIOQUIA;MEDELLIN;62.226;-755.919;Carrera 70 por Calle 19
ANTIOQUIA;MEDELLIN;6.253;-755.879;Carrera 70 por Calle 47D
ANTIOQUIA;MEDELLIN;6.231.114;-75.596.248;Carrera 76 por Calle 30
ANTIOQUIA;MEDELLIN;62.773;-755.894;Avenida 80 por Calle 76
ANTIOQUIA;MEDELLIN;62.387;-755.902;Diagonal 74B por Calle 32F
ATLANTICO;BARRANQUILLA;110.032;-7.481.055;Carrera 51B # 79-192
ANTIOQUIA;MEDELLIN;6.249.763;-7.558.005;Autopista Sur por Calle 44A
ANTIOQUIA;MEDELLIN;6.292.095;-75.568.481;Carrera 64C por Calle 97A
ANTIOQUIA;MEDELLIN;62.074;-755.892;Avenida 80 por Carrera 65
ANTIOQUIA;SABANETA;6.158.101;-75.609.045;AVENIDA LAS VEGAS CARRERA 48 CON CALLE 60 SUR (INTERSECCI¢N SENTIDO NORTE - SUR).
Bogota D.C;Bogota D.C;47.298;-7.406.864;AV BOYACA X AC 138
Bogota D.C;Bogota D.C;4.640.483;-74.066.464;AV CARACAS X CL 53
Bogota D.C;Bogota D.C;4.604.657;-74.095.158;KR 27 X AC 6
Bogota D.C;Bogota D.C;4.599.114;-74.078.412;KR 10 X CL 10
Bogota D.C;Bogota D.C;45.984.922;-741.069.537;AV QUITO X CL 8 SUR
Bogota D.C;Bogota D.C;45.971.725;-741.775.094;AUTOPISTA SUR X CL 59 SUR
META;VILLAVICENCIO;41.292.306;-736.383.528;AVENIDA 40 CALLE 10C
VALLE DEL CAUCA;CALI;3.407.457;-765.424.192;CARRERA 56 CON CALLE 9
ATLANTICO;BARRANQUILLA;1.097.935;-7.482.306;Calle 82B # 26C1 - 60 (casa esquina)
ATLANTICO;BARRANQUILLA;110.131;-7.483.406;Carrera 51B - Calle 102
ATLANTICO;BARRANQUILLA;109.402.005;-7.477.858;Calle 19 entre carreras 3D(Boulevard)
ATLANTICO;BARRANQUILLA;1.096.272;-7.483.793;Calle 110# 10 - 427
META;VILLAVICENCIO;4.147.472;-73.618.595;CALLE 35 CARRERA 18
ATLANTICO;BARRANQUILLA;1.098.943;-7.481.432;Calle 76 # 38C - 110
ATLANTICO;BARRANQUILLA;1.095.849;-7.480.349;Calle 56 # 14 - 24
ATLANTICO;BARRANQUILLA;1.092.959;-7.479.918;Calle 45 # 1Sur - 39
ATLANTICO;BARRANQUILLA;109.475;-7.481.622;Carrera 6 - Calle 72 / carrera 56 # 65-44
ATLANTICO;BARRANQUILLA;1.097.109;-74.823;Carrera 21 # 78-44
ATLANTICO;BARRANQUILLA;1.094.667;-7.478.458;Calle 30 # 4B-350
ATLANTICO;BARRANQUILLA;1.096.212;-7.479.308;Calle 45 # 21-39
ATLANTICO;BARRANQUILLA;1.096.134;-7.479.337;Calle 45 # 21 - 18
ATLANTICO;BARRANQUILLA;1.100.788;-7.483.351;Carrera 46 - calle 100 esquina
ATLANTICO;BARRANQUILLA;1.094.276;-7.478.356;Calle 30 # 5A-121 (Coltanques)
ATLANTICO;BARRANQUILLA;1.094.276;-7.478.356;Calle 30 # 5A-121 (Coltanques)
VALLE DEL CAUCA;YUMBO;3.554.974;-76.501.121;Calle 10 entre Carreras 20 y 21
ATLANTICO;BARRANQUILLA;1.095.356;-7.477.608;Carrera 15 # 18 - 102
ANTIOQUIA;ITAGUI;61.921.057;-755.925.978;CALLE 85 CARRERA 52D (SECTOR CHIMENEAS)
ATLANTICO;BARRANQUILLA;110.074;-7.481.254;Calle 82 con carrera 56
ATLANTICO;BARRANQUILLA;1.101.561;-7.482.071;Calle 94 # 57-57
SANTANDER;BARRANCABERMEJA;7.060.175;-73.861.997;Calle 50 carrera 15 acceso oriental.    Orientaci¢n: oriente-occidente
ANTIOQUIA;BELLO;6.313.999;-755.637.476;Calle 24A Carrera 58
SANTANDER;BARRANCABERMEJA;7.063.322;-73.844.415;Carrera 34c Calle 39 acceso sur.   Orientaci¢n Sur-norte
SANTANDER;BARRANCABERMEJA;7.071.898;-73.843.365;calle 63 diagonal 60 acceso oriente.  Orientaci¢n: oriente-occidente
SANTANDER;BARRANCABERMEJA;7.075.313;-73.827.449;Transversal 48 Diagonal 60 acceso occidente.  Orientaci¢n: occidente-oriente
SANTANDER;BARRANCABERMEJA;7.061.239;-73.854.894;Calle 53 carrera 24. acceso Occidente.   Orientaci¢n: Occidente oriente
SANTANDER;BARRANCABERMEJA;7.041.222;-73.839.386;carrera 52 calle 33 acceso norte.  Orientaci¢n: norte-sur
SANTANDER;BARRANCABERMEJA;7.068.317;-73.856.159;Calle 60 carrera 21 acceso occidente.       Orientaci¢n: occidente-oriente
SANTANDER;BARRANCABERMEJA;7.074.878;-73.827.381;Diagonal 60 Transversal 48 acceso sur.     Orientaci¢n: sur-norte
SANTANDER;BARRANCABERMEJA;7.062.244;-73.850.442;Calle 52 Carrera 30 Acceso Norte.         Orientaci¢n: norte-sur
SANTANDER;BARRANCABERMEJA;7.060.175;-73.861.997;Calle 50 carrera 15 acceso oriental.    Orientaci¢n: oriente-occidente
SANTANDER;BARRANCABERMEJA;7.061.938;-73.854.522;Calle 52 carrera 30 Acceso Norte.  Orientaci¢n: norte sur (Solo se va a supervisar e infraccionar en un solo sentido)
N. DE SANTANDER;CUCUTA;7.872.508;-72.501.116;Av. 1 con Calle 25
ATLANTICO;SOLEDAD;10.927.281;-74.787.766;SIN DIRECCION
N. DE SANTANDER;CUCUTA;78.893;-7.250.188;SIN DIRECCION
ATLANTICO;BARRANQUILLA;10.943.326;-74.830.563;SIN DIRECCION
SANTANDER;BARRANCABERMEJA;7.061.938;-73.854.522;Calle 52 carrera 30 Acceso Norte.  Orientaci¢n: norte sur (Solo se va a supervisar e infraccionar en un solo sentido)
N. DE SANTANDER;CUCUTA;7.872.508;-72.501.116;Av. 1 con Calle 25
ATLANTICO;PUERTO COLOMBIA;11.016.498;-74.845.503;Carrera 51B - Km 2
ANTIOQUIA;ITAGUI;617.242;-7.562.977;CALLE 36 CARRERA 65
ANTIOQUIA;SABANETA;6.156.162;-7.561.912;AVENIDA REGIONAL CON CALLE 67 SUR (TRAMO DE VÖA SENTIDO SUR - NORTE).
N. DE SANTANDER;LOS PATIOS;7.823.875;-725.133.388;AV 10 CALLE 12 SENTIDO CUCUTA - PAMPLONA
N. DE SANTANDER;CUCUTA;790.499;-7.251.833;AVENIDA 17 CON CALLE 4
ATLANTICO;BARRANQUILLA;1.100.457;-7.481.435;Calle 82 con carrera 51B
ANTIOQUIA;BELLO;6.327.839;-75.558.023;Carrera 50 Calle 40
ANTIOQUIA;ITAGUI;6.191.318;-75.592.445;Carrera 52 Calle 85
ATLANTICO;SOLEDAD;10.917.662;-74.774.931;Av. Calle 30 con Carrera 19 (Soledad)
ATLANTICO;BARRANQUILLA;1.096.257;-7.483.808;Calle 110# 10 - 427 (Norte-Sur)
VALLE DEL CAUCA;YUMBO;3.528.183;-76.514.517;Calle 10 frente al Colegio Liceo Franc‚s Paul Valery Sentido Norte -Sur.
ATLANTICO;MALAMBO;10.870.283;-7.477.136;Calle 10A con Carrera 17 (Malambo)
ATLANTICO;BARRANQUILLA;1.101.742;-7.483.438;Carrera 53 - Calle 106
SANTANDER;BARRANCABERMEJA;7.062.468;-73.840.031;Calle 39 carrera 36d. aceso occidental.   Orientaci¢n: Occidente Oriente (solo se va a supervisar e infraccionar en un solo sentido)
N. DE SANTANDER;CUCUTA;7.908.724;-72.517.832;AVENIDA 0 CON CALLE 1 (Atalaya)
ATLANTICO;BARRANQUILLA;1.095.749;-7.489.345;Via 11 # 8 - 21
ATLANTICO;BARRANQUILLA;1.096.959;-7.478.989;Calle 45 con carrera 27
ATLANTICO;BARRANQUILLA;1.095.467;-7.479.734;Calle 45B con carrera 14
ATLANTICO;BARRANQUILLA;1.099.261;-7.480.666;Calle 72 con carrera 44
ATLANTICO;BARRANQUILLA;1.098.771;-7.478.975;Calle 53 con carrera 45
ATLANTICO;BARRANQUILLA;1.100.938;-7.481.841;Carrera 53 entre calles 86 y 87
ATLANTICO;BARRANQUILLA;1.094.252;-747.777;Calle 19 entre carreras 4C y 5A (Cancha)
ATLANTICO;BARRANQUILLA;1.097.871;-7.483.624;Calle 110#29-120 (centro industrial)
ATLANTICO;BARRANQUILLA;1.098.087;-748.004;Calle 61 entre carreras 34 y 35
ATLANTICO;BARRANQUILLA;1.095.749;-7.489.345;Via 11 # 8 - 21
ATLANTICO;MALAMBO;10.870.283;-7.477.136;Calle 10A con Carrera 17 (Malambo)
ATLANTICO;BARRANQUILLA;1.101.742;-7.483.438;Carrera 53 - Calle 106
SANTANDER;BARRANCABERMEJA;7.062.468;-73.840.031;Calle 39 carrera 36d. aceso occidental.   Orientaci¢n: Occidente Oriente (solo se va a supervisar e infraccionar en un solo sentido)
N. DE SANTANDER;CUCUTA;7.908.724;-72.517.832;AVENIDA 0 CON CALLE 1 (Atalaya)
ATLANTICO;BARRANQUILLA;1.096.959;-7.478.989;Calle 45 con carrera 27
ATLANTICO;BARRANQUILLA;1.095.467;-7.479.734;Calle 45B con carrera 14
ATLANTICO;BARRANQUILLA;1.099.261;-7.480.666;Calle 72 con carrera 44
ATLANTICO;BARRANQUILLA;1.098.771;-7.478.975;Calle 53 con carrera 45
ATLANTICO;BARRANQUILLA;1.100.938;-7.481.841;Carrera 53 entre calles 86 y 87
ATLANTICO;BARRANQUILLA;1.094.252;-747.777;Calle 19 entre carreras 4C y 5A (Cancha)
ATLANTICO;BARRANQUILLA;1.097.871;-7.483.624;Calle 110#29-120 (centro industrial)
N. DE SANTANDER;CUCUTA;789.008;-7.250.387;AVENIDA 4 CALLE 7
ANTIOQUIA;SABANETA;6.157.511;-75.609.599;AVENIDA LAS VEGAS CARRERA 48 CON CALLE 60 SUR (INTERSECCI¢N SENTIDO SUR - NORTE).
ANTIOQUIA;BELLO;6.313.999;-755.637.476;Calle 24A Carrera 58
SANTANDER;BARRANCABERMEJA;7.063.322;-73.844.415;Carrera 34c Calle 39 acceso sur.   Orientaci¢n Sur-norte
SANTANDER;BARRANCABERMEJA;7.071.898;-73.843.365;calle 63 diagonal 60 acceso oriente.  Orientaci¢n: oriente-occidente
SANTANDER;BARRANCABERMEJA;7.075.313;-73.827.449;Transversal 48 Diagonal 60 acceso occidente.  Orientaci¢n: occidente-oriente
